age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary,Income_predicted
39,7,9,13,4,0,1,4,1,2174,0,40,39,<=50K,>50K
50,6,9,13,2,3,0,4,1,0,0,13,39,<=50K,<=50K
38,4,11,9,0,5,1,4,1,0,0,40,39,<=50K,<=50K
53,4,1,7,2,5,0,2,1,0,0,40,39,<=50K,<=50K
28,4,9,13,2,9,5,2,0,0,0,40,4,<=50K,<=50K
37,4,12,14,2,3,5,4,0,0,0,40,39,<=50K,<=50K
49,4,6,5,3,7,1,2,0,0,0,16,22,<=50K,<=50K
52,6,11,9,2,3,0,4,1,0,0,45,39,>50K,<=50K
31,4,12,14,4,9,1,4,0,14084,0,50,39,>50K,<=50K
42,4,9,13,2,3,0,4,1,5178,0,40,39,>50K,>50K
37,4,15,10,2,3,0,2,1,0,0,80,39,>50K,<=50K
30,7,9,13,2,9,0,1,1,0,0,40,18,>50K,<=50K
23,4,9,13,4,0,3,4,0,0,0,30,39,<=50K,>50K
32,4,7,12,4,11,1,2,1,0,0,50,39,<=50K,<=50K
40,4,8,11,2,2,0,1,1,0,0,40,27,>50K,<=50K
34,4,5,4,2,13,0,0,1,0,0,45,25,<=50K,<=50K
25,6,11,9,4,4,3,4,1,0,0,35,39,<=50K,<=50K
32,4,11,9,4,6,4,4,1,0,0,40,39,<=50K,>50K
38,4,1,7,2,11,0,4,1,0,0,50,39,<=50K,>50K
43,6,12,14,0,3,4,4,0,0,0,45,39,>50K,<=50K
40,4,10,16,2,9,0,4,1,0,0,60,39,>50K,>50K
54,4,11,9,5,7,4,2,0,0,0,20,39,<=50K,<=50K
35,0,6,5,2,4,0,2,1,0,0,40,39,<=50K,<=50K
43,4,1,7,2,13,0,4,1,0,2042,40,39,<=50K,<=50K
59,4,11,9,0,12,4,4,0,0,0,40,39,<=50K,<=50K
56,1,9,13,2,12,0,4,1,0,0,40,39,>50K,<=50K
19,4,11,9,4,2,3,4,1,0,0,40,39,<=50K,<=50K
54,3,15,10,2,7,0,1,1,0,0,60,35,>50K,>50K
39,4,11,9,0,3,1,4,1,0,0,80,39,<=50K,<=50K
49,4,11,9,2,2,0,4,1,0,0,40,39,<=50K,<=50K
23,1,7,12,4,10,1,4,1,0,0,52,39,<=50K,<=50K
